,review_id,sentiment,label_id,input_ids,review_body,date
0,17330,1,2,"[0, 597, 1641, 11, 657, 19, 42, 23204, 5, 2289, 939, 794, 24, 4, 5, 11398, 2871, 5357, 760, 16, 5835, 4, 5, 650, 2564, 6683, 1437, 195, 108, 245, 113, 1437, 2491, 438, 4, 939, 524, 2333, 227, 10, 650, 8, 4761, 98, 114, 10, 650, 16, 2333, 929, 219, 47, 189, 236, 7, 1836, 159, 4, 24, 18, 10, 4761, 2408, 1437, 3793, 8, 3473, 1437, 45, 23, 70, 24, 17414, 4, 1969, 13, 10386, 62, 50, 159, 4, 356, 556, 7, 171, 107, 9, 304, 31, 42, 1531, 1437, 4187, 2496, 1886, 6703, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","Fell in love with this sweater the minute i saw it. the crocheted front is stunning. the small fit perfectly  5'5""  36c. i am usually between a small and medium so if a small is usually roomy you may want to size down. it's a medium weight  soft and comfortable  not at all itchy. perfect for dressing up or down. look forward to many years of use from this fun  classic style cardigan.",2021-04-23T00:33:35Z
1,19393,1,2,"[0, 100, 524, 292, 237, 8, 65, 6317, 8, 10328, 2697, 8, 5, 650, 10698, 162, 6683, 19, 615, 929, 11, 5, 3701, 8, 7050, 4, 939, 524, 10, 2631, 438, 4, 5, 1275, 16, 12058, 8, 4045, 4, 300, 24, 15, 516, 1392, 8, 966, 24, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",I am five four and one hundred and twenty pounds and the small fits me perfectly with enough room in the arms and chest. i am a 34c. the red is gorgeous and sweet. got it on line sale and worth it,2021-04-23T00:33:35Z
2,6326,-1,0,"[0, 100, 269, 101, 258, 8089, 11, 42, 299, 4, 939, 657, 5, 169, 24, 22533, 1437, 5, 5933, 1437, 5, 1468, 1437, 4753, 4, 99, 939, 218, 75, 101, 16, 14, 5, 3124, 6538, 32, 182, 739, 8, 924, 5, 1445, 526, 9, 110, 11689, 4, 42, 16, 2299, 10, 1035, 299, 98, 596, 74, 951, 236, 7, 33, 7, 3568, 10, 740, 5602, 77, 24, 18, 3279, 615, 7, 213, 30145, 5536, 3361, 116, 350, 1099, 1437, 939, 74, 33, 2162, 24, 13, 686, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",I really like both colors in this top. i love the way it lays  the length  the material  etc. what i don't like is that the arm holes are very large and shows the entire side of your bra. this is definitely a summer top so why would someone want to have to wear a cami when it's warm enough to go sleeveless? too bad  i would have bought it for sure.,2021-04-23T00:33:35Z
3,537,1,2,"[0, 713, 16, 65, 9, 5, 144, 3473, 6966, 36878, 939, 308, 4, 939, 3584, 24, 11, 5, 11342, 2253, 22941, 26221, 5780, 8, 303, 14, 24, 21, 14128, 8, 1969, 13, 10, 4105, 120, 4384, 4, 5, 29861, 12193, 1334, 2496, 817, 24, 269, 3473, 1437, 648, 11962, 4, 939, 2200, 5940, 42, 3235, 7, 167, 546, 13, 10, 2216, 1437, 648, 29363, 3569, 6966, 18605, 2496, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",This is one of the most comfortable swimsuits i own. i purchased it in the turquoise dots print and found that it was colorful and perfect for a beach getaway. the adjustable halter style makes it really comfortable  yet cute. i highly recommend this suit to those looking for a unique  yet whimsical swimsuit style.,2021-04-23T00:33:35Z
4,13945,0,1,"[0, 4528, 32, 98, 11962, 8, 5, 8089, 32, 372, 1437, 959, 1437, 51, 4140, 66, 59, 132, 10070, 4, 51, 2564, 162, 6683, 8, 939, 23855, 159, 8, 51, 13596, 66, 59, 10, 1836, 112, 73, 176, 7, 132, 10070, 350, 380, 4, 939, 437, 29673, 4567, 66, 142, 51, 32, 1969, 11, 358, 97, 169, 4, 399, 75, 206, 51, 74, 4140, 66, 25, 203, 25, 51, 222, 4, 8, 51, 356, 11522, 683, 1437, 51, 348, 13596, 66, 4, 2813, 939, 399, 75, 185, 5, 19445, 160, 50, 939, 74, 33, 1835, 106, 4, 1836, 159, 23, 1437, 513, 65, 1836, 1437, 939, 115, 33, 23855, 159, 80, 10070, 4, 2818, 51, 17652, 26669, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",These are so cute and the colors are great  however  they stretch out about 2 sizes. they fit me perfectly and i sized down and they stretched out about a size 1/2 to 2 sizes too big. i'm bummed out because they are perfect in every other way. didn't think they would stretch out as much as they did. and they look awful once  they've stretched out. wish i didn't take the tags off or i would have returned them. size down at  least one size  i could have sized down two sizes. hoping they shrink lik,2021-04-23T00:33:35Z
5,78,1,2,"[0, 713, 299, 16, 3668, 5835, 4, 939, 3584, 5, 1104, 65, 4, 95, 829, 8, 24, 10698, 15481, 12, 102, 410, 15, 5, 380, 526, 53, 939, 679, 24, 1326, 357, 14, 169, 4, 42, 40, 356, 372, 19, 960, 4, 24, 16, 157, 11236, 8, 1326, 182, 2216, 4, 657, 24, 328, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",This top is absolutely stunning. i purchased the white one. just received and it fits nicely-a little on the big side but i believe it looks better that way. this will look great with everything. it is well constructed and looks very unique. love it!,2021-04-23T00:33:35Z
6,529,-1,0,"[0, 2847, 939, 4984, 5, 754, 14, 42, 3588, 21, 533, 3833, 55, 13, 26120, 2590, 154, 87, 13, 2498, 66, 8, 59, 1437, 53, 939, 683, 56, 10, 319, 9, 6620, 19, 14442, 9, 42, 425, 477, 36, 463, 5927, 43, 23, 6215, 1437, 98, 939, 56, 1991, 4, 939, 21, 95, 6923, 24, 7, 28, 10, 372, 1285, 13, 28177, 8, 4105, 360, 1437, 53, 24, 18, 10728, 98, 7174, 939, 1705, 75, 190, 192, 24, 447, 14, 157, 13, 14, 4, 24, 18, 67, 847, 2735, 87, 939, 21, 22535, 17298, 30, 5, 169, 24, 10698, 5, 1421, 131, 127, 4505, 650, 21, 169, 55, 809, 3865, 87, 939, 21, 1475, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",So i recognized the fact that this dress was likely intended more for lounging than for wearing out and about  but i once had a lot of luck with dresses of this price point (and intent) at retailer  so i had hopes. i was just wanting it to be a great addition for vacations and beach days  but it's honestly so thin i couldn't even see it working that well for that. it's also cut smaller than i was anticipating judging by the way it fits the model; my usual small was way more bodycon than i was anti,2021-04-23T00:33:35Z
7,6913,1,2,"[0, 713, 16, 5, 1969, 1035, 299, 4, 2422, 13719, 53, 19, 10, 410, 7021, 11, 24, 98, 24, 16, 45, 3229, 420, 5, 28097, 4, 5, 4520, 8089, 213, 19, 818, 932, 8, 5, 14901, 23, 5, 299, 817, 42, 3588, 906, 87, 10, 1675, 6399, 4, 372, 19, 31296, 8, 10844, 328, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",This is the perfect summer top. super lightweight but with a little swing in it so it is not tight across the hips. the bright colors go with almost anything and the detailing at the top makes this dressier than a regular shirt. great with skirts and jeans!,2021-04-23T00:33:35Z
8,8390,-1,0,"[0, 100, 222, 45, 101, 42, 299, 23, 70, 12, 4297, 56, 939, 1415, 23, 5, 10199, 2052, 7, 4906, 939, 74, 45, 33, 4, 24, 16, 11424, 8939, 12, 118, 802, 24, 21, 13178, 98, 89, 18, 5, 78, 1219, 939, 399, 75, 101, 24, 4, 36013, 1437, 89, 16, 10, 2125, 9, 10199, 639, 5, 784, 11667, 1437, 15546, 13, 39706, 14, 16766, 7, 4477, 3269, 4, 24, 36045, 62, 639, 5, 784, 7575, 1437, 442, 24, 2082, 25, 114, 65, 16, 2498, 41, 18983, 28517, 50, 740, 5602, 14, 16, 45, 3901, 13, 5, 299, 4, 24, 16, 350, 251, 13, 162, 1437, 5, 299, 3022, 23, 299, 9, 18781, 4, 1437, 42, 299, 16, 95, 769, 1250, 2, 1, 1, 1, 1, 1, 1]",I did not like this top at all-but had i looked at the fabric prior to purchasing i would not have. it is polyester-i thought it was cotton so there's the first reason i didn't like it. secondly  there is a piece of fabric behind the laces  presumably for modesty that refuses to lay flat. it wrinkles up behind the lacing  making it appear as if one is wearing an undershirt or cami that is not appropriate for the top. it is too long for me  the top hitting at top of thigh.  this top is just reall,2021-04-23T00:33:35Z
9,17421,1,2,"[0, 1106, 939, 56, 7, 6190, 15, 80, 1617, 1437, 14, 74, 28, 24, 4, 5, 1468, 16, 45, 10, 13116, 117, 12, 26650, 1468, 1437, 295, 4297, 910, 895, 1334, 10, 3793, 4140, 219, 1468, 1437, 19, 103, 5581, 36, 627, 1521, 34, 22, 15821, 14337, 113, 1437, 45, 686, 141, 7, 3922, 24, 10431, 4, 114, 47, 32, 765, 1437, 939, 74, 2299, 213, 19, 4716, 1459, 600, 1437, 24, 21, 10, 410, 350, 251, 15, 1675, 1836, 8, 478, 11, 5, 22, 35621, 113, 1514, 15, 127, 32606, 4, 182, 34203, 1437, 8, 2579, 847, 4, 939, 385, 2028, 75, 645, 648, 25, 24, 16, 92, 8, 939, 42898, 1182, 2162, 10, 367, 14442, 734, 53, 11, 127, 8107, 13, 298, 3055, 220, 22, 2]","If i had to describe on two words  that would be it. the material is not a stiff no-give material  nbut rahter a soft stretchy material  with some depth (the design has ""grooves""  not sure how to explain it#. if you are short  i would definitely go with petite though  it was a little too long on regular size and hit in the ""wrong"" spot on my calves. very flattering  and nice cut. i dind't order yet as it is new and i jsut bought a few dresses... but in my basket forh te next ""sale"" :) #if they s",2021-04-23T00:33:35Z
